id_emp,latitude,longitude,type
2612348,-23.5329,-46.6395,FINAL
2612495,-20.8169,-49.5206,FINAL
2613149,-20.5352,-47.4039,FINAL
2613315,-23.4439,-46.9178,FINAL
2613344,-23.5329,-46.6395,FINAL
2613429,-23.4439,-46.9178,FINAL
2613663,-23.4332,-45.0834,FINAL
2613810,-21.7288,-48.1147,PTO_IBAMA
2614025,-23.5886,-48.0483,FINAL
2614067,-23.5057,-46.879,FINAL
2614174,-23.5329,-46.6395,FINAL
2614615,-23.5329,-46.6395,FINAL
2614669,-22.9053,-47.0659,PTO_IBAMA
2615069,-23.5208,-46.1854,FINAL
2615497,-20.4237,-49.9781,PTO_IBAMA
2615883,-20.8022,-49.9687,FINAL
2615903,-21.8386,-44.8083,PTO_IBAMA
2616173,-22.5226,-46.65,FINAL
2616466,-22.887,-46.4124,FINAL
2616558,-23.5329,-46.6395,FINAL
2616646,-24.0809,-46.6265,FINAL
2616658,-22.9053,-47.0659,FINAL
2616847,-23.5329,-46.6395,FINAL
2616857,-22.3246,-49.0871,FINAL
2617028,-23.6229,-46.5548,FINAL
2617070,-23.5057,-46.879,FINAL
2617412,-23.1896,-45.8841,FINAL
2617490,-22.7338,-47.6476,FINAL
2617510,-23.222,-45.3109,FINAL
2618173,-23.5329,-46.6395,PTO_IBAMA
2618912,-22.9105,-43.1922,PTO_IBAMA
2618929,-23.6737,-46.5432,FINAL
2619090,-23.3965,-46.32,PTO_IBAMA
2619365,-23.6737,-46.5432,FINAL
2619455,-23.355,-46.8781,PTO_IBAMA
2619785,-22.9527,-46.5419,FINAL
2619902,-23.5208,-46.1854,FINAL
2620069,-23.4439,-46.9178,FINAL
2620417,-23.5208,-46.1854,FINAL
2620966,-23.5411,-46.371,FINAL
2621012,-22.7338,-47.6476,FINAL
2621283,-23.5329,-46.6395,FINAL
2621749,-23.1896,-45.8841,FINAL
2621774,-23.5329,-46.6395,PTO_IBAMA
2621835,-23.5329,-46.6395,FINAL
2621883,-23.9888,-46.258,FINAL
2621949,-20.4579,-47.5904,FINAL
2622105,-21.7845,-48.178,FINAL
2622133,-22.4146,-49.818,FINAL
2622241,-23.3172,-46.2237,FINAL
2622325,-23.5886,-48.0483,FINAL
2622784,-22.7374,-47.3331,FINAL
2622853,-24.0809,-46.6265,FINAL
2623234,-23.4332,-45.0834,PTO_IBAMA
2623383,-22.9053,-47.0659,FINAL
2623470,-23.5329,-46.6395,FINAL
2623758,-23.5329,-46.6395,FINAL
2623881,-23.5329,-46.6395,FINAL
2624017,-20.8948,-51.3786,FINAL
2624136,-23.5329,-46.6395,FINAL
2624500,-23.355,-46.8781,FINAL
2624623,-23.5329,-46.6395,FINAL
2625140,-21.921,-50.7357,FINAL
2625161,-23.7951,-45.4143,FINAL
2625241,-23.5329,-46.6395,FINAL
2625324,-21.2076,-50.4401,PTO_IBAMA
2625581,-23.5329,-46.6395,PTO_IBAMA
2625669,-23.6677,-46.4613,FINAL
2625726,-22.8075,-45.1938,FINAL
2625896,-23.4439,-46.9178,FINAL
2625921,-23.5208,-46.1854,PTO_IBAMA
2625927,-23.5057,-46.879,FINAL
2626209,-24.0809,-46.6265,FINAL
2626236,-23.5329,-46.6395,FINAL
2626457,-23.4835,-46.3457,PTO_IBAMA
2626668,-23.9535,-46.335,FINAL
2626954,-23.5208,-46.1854,FINAL
2627344,-19.9789,-50.139,FINAL
2627443,-19.9453,-50.538,FINAL
2627485,-22.2171,-49.9501,PTO_IBAMA
2627565,-23.5329,-46.6395,FINAL
2627606,-22.2171,-49.9501,PTO_IBAMA
2627767,-23.5329,-46.6395,FINAL
2627800,-23.4538,-46.5333,FINAL
2627829,-23.4538,-46.5333,FINAL
2627884,-23.5329,-46.6395,FINAL
2627933,-22.0174,-47.886,FINAL
2627977,-23.5208,-46.1854,FINAL
2628408,-22.1207,-51.3925,FINAL
2628554,-21.4049,-48.5103,PTO_IBAMA
2628897,-23.1896,-45.8841,FINAL
2628995,-22.9527,-46.5419,FINAL
2629390,-23.4538,-46.5333,FINAL
2629439,-23.5446,-47.4388,FINAL
2629448,-23.3965,-46.32,FINAL
2629486,-20.4237,-49.9781,FINAL
2629647,-23.5329,-46.6395,FINAL
2629701,-23.5057,-46.879,PTO_IBAMA
2629920,-23.1896,-45.8841,FINAL
2630673,-23.4332,-45.0834,FINAL
2630771,-23.2792,-46.7448,FINAL
2630777,-23.3965,-46.32,FINAL
2630812,-22.4326,-50.2038,FINAL
2630886,-22.9246,-45.4613,FINAL
2630903,-20.2806,-50.2471,FINAL
2631020,-20.4326,-51.3426,FINAL
2631022,-22.1549,-50.0971,FINAL
2631101,-23.5208,-46.1854,FINAL
2631841,-22.0174,-47.886,FINAL
2631972,-23.4112,-46.0369,PTO_IBAMA
2632256,-23.4969,-47.4451,FINAL
2632265,-23.9535,-46.335,FINAL
2632387,-20.8113,-49.3758,FINAL
2632759,-23.0056,-49.3202,FINAL
2632921,-23.5329,-46.6395,FINAL
2633218,-23.5329,-46.6395,FINAL
2633336,-21.1699,-47.8099,FINAL
2633529,-23.5329,-46.6395,FINAL
2633626,-23.5329,-46.6395,FINAL
2634081,-20.8113,-49.3758,FINAL
2634162,-20.4237,-49.9781,PTO_IBAMA
2634235,-23.9888,-46.258,FINAL
2634668,-23.9888,-46.258,FINAL
2634706,-21.3724,-50.2081,PTO_IBAMA
2635061,-23.4835,-46.3457,FINAL
2635076,-23.5329,-46.6395,PTO_IBAMA
2635459,-22.0174,-47.886,FINAL
2635813,-23.5329,-46.6395,FINAL
2636022,-23.9535,-46.335,FINAL
2636263,-23.9888,-46.258,FINAL
2636542,-23.5329,-46.6395,FINAL
2636543,-21.9091,-49.8986,PTO_IBAMA
2636982,-21.1699,-47.8099,FINAL
2637258,-23.5057,-46.879,FINAL
2637336,-23.9888,-46.258,FINAL
2637364,-23.5329,-46.6395,PTO_IBAMA
2637452,-23.4439,-46.9178,FINAL
2637513,-23.5329,-46.6395,FINAL
2637540,-23.9535,-46.335,FINAL
2637565,-23.5208,-46.1854,FINAL
2637640,-23.2093,-47.5251,PTO_IBAMA
2637647,-23.5329,-46.6395,FINAL
2637729,-23.5208,-46.1854,FINAL
2637899,-23.5333,-46.3473,FINAL
2637962,-23.9535,-46.335,FINAL
2637979,-23.5329,-46.6395,FINAL
2637986,-23.5329,-46.6395,FINAL
2638120,-22.4355,-47.7151,FINAL
2638269,-22.9246,-45.4613,PTO_IBAMA
2638379,-23.2221,-44.7175,FINAL
2638753,-23.1852,-46.8974,FINAL
2638799,-23.1896,-45.8841,FINAL
2638838,-20.8169,-49.5206,FINAL
2638956,-15.7795,-47.9297,FINAL
2639008,-23.5329,-46.6395,FINAL
2639805,-23.9535,-46.335,FINAL
2639967,-23.4969,-47.4451,FINAL
2639974,-23.4332,-45.0834,FINAL
2640052,-22.7296,-45.5833,PTO_IBAMA
2640101,-22.0174,-47.886,PTO_IBAMA
2640394,-23.5329,-46.6395,FINAL
2640482,-23.9535,-46.335,FINAL
2640726,-23.1039,-46.728,PTO_IBAMA
2640836,-23.4969,-47.4451,FINAL
2640849,-23.4439,-46.9178,FINAL
2640903,-23.5329,-46.6395,FINAL
2641168,-23.5448,-46.3112,FINAL
2641216,-21.1699,-47.8099,FINAL
2641266,-23.3965,-46.32,FINAL
2641378,-23.7785,-45.3552,FINAL
2641550,-23.5329,-46.6395,FINAL
2641583,-20.4237,-49.9781,FINAL
2641682,-23.1896,-45.8841,PTO_IBAMA
2641857,-22.7037,-46.9851,FINAL
2641880,-23.3487,-47.8461,FINAL
2641924,-23.5329,-46.6395,FINAL
2642254,-23.9788,-48.8764,FINAL
2642261,-22.0174,-47.886,FINAL
2642296,-12.9835,-38.4572,PTO_IBAMA
2642614,-23.4538,-46.5333,FINAL
2642625,-23.5329,-46.6395,FINAL
2642677,-23.1896,-45.8841,FINAL
2643255,-23.4969,-47.4451,FINAL
2643351,-23.4439,-46.9178,FINAL
2643522,-23.6677,-46.4613,FINAL
2643637,-23.1047,-48.6157,FINAL
2643862,-20.8113,-49.3758,FINAL
2644009,-20.6228,-49.6563,PTO_IBAMA
2644015,-23.5057,-46.879,FINAL
2644042,-23.5329,-46.6395,FINAL
2644357,-23.4439,-46.9178,FINAL
2644410,-23.4332,-45.0834,FINAL
2644449,-23.5329,-46.6395,FINAL
2645277,-22.9527,-46.5419,FINAL
2645723,-23.4439,-46.9178,FINAL
2645802,-22.1207,-51.3925,FINAL
2645952,-23.5329,-46.6395,FINAL
2646087,-23.5329,-46.6395,FINAL
