id_product,product_name,product_type 
5,Bloco,outros
0,Aglomerado,final
28,Compensado Aglomerado de 4 mm,final
29,Compensado Laminado de 10 mm,final
30,"Compensado Laminado de 10,1 mm",final
31,"Compensado Laminado de 10,2 mm",final
32,"Compensado Laminado de 10,3 mm",final
33,"Compensado Laminado de 10,4 mm",final
34,"Compensado Laminado de 10,5 mm",final
35,"Compensado Laminado de 10,9 mm",final
36,Compensado Laminado de 11 mm,final
37,"Compensado Laminado de 11,1 mm",final
65,"Compensado Laminado de 17,1 mm",final
66,"Compensado Laminado de 17,5 mm",final
67,"Compensado Laminado de 17,8 mm",final
68,"Compensado Laminado de 17,9 mm",final
69,Compensado Laminado de 18 mm,final
70,"Compensado Laminado de 18,2 mm",final
71,"Compensado Laminado de 18,9 mm",final
72,Compensado Laminado de 19 mm,final
73,"Compensado Laminado de 2,8 mm",final
74,"Compensado Laminado de 2,9 mm",final
75,Compensado Laminado de 20 mm,final
76,Compensado Laminado de 21 mm,final
77,Compensado Laminado de 22 mm,final
78,Compensado Laminado de 23 mm,final
79,"Compensado Laminado de 23,5 mm",final
80,"Compensado Laminado de 23,8 mm",final
81,Compensado Laminado de 24 mm,final
82,Compensado Laminado de 25 mm,final
83,Compensado Laminado de 26 mm,final
84,Compensado Laminado de 27 mm,final
85,Compensado Laminado de 28 mm,final
86,Compensado Laminado de 29 mm,final
205,Madeira Serrada Aplainada 4 Faces,final
206,Madeira Serrada em Bruto,final
207,Madeira serrada (caibro),final
208,Madeira serrada (prancha),final
209,Madeira serrada (pranchão desdobrado),final
210,Madeira serrada (tábua),final
211,Madeira serrada (vareta),final
212,Madeira serrada (viga),final
213,Madeira serrada (vigota),final
214,Manta sarrafeada,final
228,Piso Engenheirado,final
229,Pisos e Assoalhos,final
231,Porta Lisa Maciça,final
232,Portal,final
233,Portal ou Batente,final
111,"Compensado Laminado de 6,4 mm",final
112,"Compensado Laminado de 6,5 mm",final
113,"Compensado Laminado de 6,8 mm",final
114,Compensado Laminado de 7 mm,final
115,"Compensado Laminado de 7,1 mm",final
116,"Compensado Laminado de 7,2 mm",final
117,"Compensado Laminado de 7,5 mm",final
118,"Compensado Laminado de 7,9 mm",final
119,Compensado Laminado de 8 mm,final
120,"Compensado Laminado de 8,2 mm",final
121,"Compensado Laminado de 8,3 mm",final
122,"Compensado Laminado de 8,4 mm",final
123,"Compensado Laminado de 8,5 mm",final
124,"Compensado Laminado de 8,7 mm",final
125,"Compensado Laminado de 8,8 mm",final
126,Compensado Laminado de 9 mm,final
144,Compensado Sarrafeado de 14 mm,final
145,"Compensado Sarrafeado de 14,3 mm",final
146,"Compensado Sarrafeado de 14,9 mm",final
147,Compensado Sarrafeado de 15 mm,final
148,Compensado Sarrafeado de 16 mm,final
149,Compensado Sarrafeado de 17 mm,final
150,"Compensado Sarrafeado de 17,5 mm",final
151,Compensado Sarrafeado de 18 mm,final
152,Compensado Sarrafeado de 19 mm,final
153,Compensado Sarrafeado de 20 mm,final
154,Compensado Sarrafeado de 21 mm,final
155,Compensado Sarrafeado de 22 mm,final
156,Compensado Sarrafeado de 23 mm,final
157,Compensado Sarrafeado de 24 mm,final
158,Compensado Sarrafeado de 25 mm,final
159,Compensado Sarrafeado de 28 mm,final
160,Compensado Sarrafeado de 30 mm,final
161,Compensado Sarrafeado de 35 mm,final
163,Compensado Sarrafeado de 48 mm,final
164,Compensado Sarrafeado de 50 mm,final
165,Compensado Sarrafeado de 8 mm,final
166,Compensado Sarrafeado de espessura indefinida,final
190,Lâmina Desenrolada,final
191,Lâmina Faqueada,final
192,Madeira Aplainada 2 Faces (S2S),final
193,Madeira Aplainada 4 Faces (S4S),final
194,Madeira Beneficiada,final
195,Madeira Beneficiada Curta,final
196,Madeira Industrializada de Resíduo,final
197,Madeira Industrilizada de Resíduo (caibrinho),final
198,Madeira Industrilizada de Resíduo (ripa),final
199,Madeira Industrilizada de Resíduo (short ou sarrafo),final
200,Madeira Laminada Faqueada,final
201,Madeira Laminada Torneada,final
202,Madeira Produzida Serrada,final
8,Bricket,residuos energeticos
6,"Bloco, quadrado ou filé",outros
7,Bolacha de Madeira,outros
141,"Compensado Sarrafeado de 11,8 mm",final
180,Forro (Lambril),final
181,Forro (lambril),final
128,"Compensado Laminado de 9,3 mm",final
129,"Compensado Laminado de 9,5 mm",final
130,"Compensado Laminado de 9,6 mm",final
131,"Compensado Laminado de 9,8 mm",final
132,"Compensado Laminado de 9,9 mm",final
133,Compensado Laminado de espessura indefinida,final
134,Compensado OSB de 12 mm,final
135,Compensado OSB de 14 mm,final
