id_wood,scientific_name,popular_name
7303,Handroanthus incanus,Ipê-amarelo
7304,Handroanthus serratifolius,ipê-amarelo
7305,Handroanthusalbus,Ipê
7307,Handroanthusimpetiginosum,Ipêrosa
7308,Handroanthusimpetiginosum,Ipêroxo
7309,Handroanthusimpetiginosum,ipêroxo
7310,Handroanthusincanus,Ipêamarelo
7311,Handroanthusochraceus,ipêfolhaamarela
7312,Handroanthusochraceus,Ipêfolhaamarela
7313,Handroanthusserratifolius,Ipê
7314,Handroanthusserratifolius,Ipêamarelo
7315,Handroanthusserratifolius,Ipêovodemacuco
7316,Handroanthusserratifolius,ipêamarelo
7317,Handroanthusserratifolius,Paudarcoamarelo
15230,Tabebuia,Ipê
15231,Tabebuia alba (Cham.) Sandwith,Aipê
15232,Tabebuia alba (Cham.) Sandwith,Ipê-amarelo
15233,Tabebuia alba (Cham.) Sandwith,Taipoca
15234,Tabebuia alba (Cham.) Sandwith,Ipê
15235,Tabebuia angustata Britten,Ipê
15236,Tabebuia aquatilis Sprague & Sandwith,Arapari
15237,Tabebuia aquatilis Sprague & Sandwith,Guarapariba
15238,Tabebuia aquatilis Sprague & Sandwith,Tatajupoca
15239,Tabebuia aurea,Ipê
15240,Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,Ipê-amarelo
15241,Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,Pau-darco
15242,Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,Ipê-caxeta
15243,Tabebuia barbata (E.Mey.) Sandwith,Ipê
15244,Tabebuia capitata (Bureau & K.Schum.) Sandwith,Ipê
15245,Tabebuia capitata (Bureau & K.Schum.) Sandwith,Pau-darco
15246,Tabebuia caraiba (Mart.) Bureau,Pau-darco-do-campo
15247,Tabebuia caraiba (Mart.) Bureau,Ipê-amarelo-do-cerrado
15248,Tabebuia cassinoides (Lam.) DC.,Caxeta
15249,Tabebuia cassinoides (Lam.) DC.,Caxeta-vermelha
15250,Tabebuia cassinoides (Lam.) DC.,Ipê
15251,Tabebuia chrysantha,Ipê
15252,Tabebuia chrysantha (Jacq.) Nichols.,Pau-darco
15253,Tabebuia chrysantha (Jacq.) Nichols.,Ipê-amarelo
15254,Tabebuia chrysantha (Jacq.) Nichols. subsp. chrysantha,Pau-darco
15255,Tabebuia chrysantha (Jacq.) Nichols. subsp. chrysantha,Ipê-amarelo
15256,Tabebuia chrysotricha (Mart. ex DC.) Standl.,Ipê-roxo
15257,Tabebuia chrysotricha (Mart. ex DC.) Standl.,Ipê
15258,Tabebuia chrysotricha (Mart. ex DC.) Standl.,Ipê-amarelo
15259,Tabebuia heptaphylla (Vell.) Toledo,Ipê
15260,Tabebuia heptaphylla (Vell.) Toledo,Guaraiba
15261,Tabebuia heptaphylla (Vell.) Toledo,Ipê-roxo
15262,Tabebuia heptaphylla (Vell.) Toledo,Pau-darco-roxo
15263,Tabebuia heptaphylla (Vell.) Toledo,Cabroé
15264,Tabebuia impetiginosa (Mart. ex DC.) Standl.,Ipeúva-roxa
15265,Tabebuia impetiginosa (Mart. ex DC.) Standl.,Ipê-comum
15266,Tabebuia impetiginosa (Mart. ex DC.) Standl.,Ipê-roxo
15267,Tabebuia impetiginosa (Mart. ex DC.) Standl.,Ipê
15268,Tabebuia impetiginosa (Mart. ex DC.) Standl.,Ipeúna
